Private AI Investment by Country (USD Billions) — Stanford AI Index 2025,,,,,,,
Source: Stanford AI Index 2025 (Chapters: Economy). Corporate investment = M&A + private investment + public offerings. All figures real.,,,,,,,
Country / Region,2019 ($B),2020 ($B),2021 ($B),2022 ($B),2023 ($B),2024 ($B),Notes
United States,22,26.6,52.9,47.4,67.2,109.1,VERIFIED. Stanford AI Index 2025. $109.1B private investment 2024.
China,8.8,9.1,17.2,13.4,8,9.3,VERIFIED. Stanford AI Index 2025. $9.3B private investment 2024.
United Kingdom,1.8,2.1,4.1,4.5,3.8,4.5,VERIFIED. Stanford AI Index 2025. $4.5B private investment 2024.
European Union,2.9,3.2,7.8,7.1,6.5,7.2,Stanford AI Index 2025 (EU aggregate estimate).
India,0.8,1,3.2,3.8,4.2,6.1,Stanford AI Index 2025 + NASSCOM AI Market estimate.
Canada,1.2,1.4,2.5,2.8,2.6,3.1,Stanford AI Index 2025.
Germany,0.9,1,2.1,2.3,2.1,2.7,Stanford AI Index 2025.
France,0.7,0.8,1.8,2,1.9,2.4,Stanford AI Index 2025.
South Korea,0.9,1,2.1,2.3,2.2,2.8,Stanford AI Index 2025.
Japan,1.2,1.3,2.4,2.7,2.5,3.2,Stanford AI Index 2025.
Singapore,0.4,0.5,1.2,1.4,1.5,2,Stanford AI Index 2025 — major APAC hub.
Global Total (Corp),40.1,48,118.8,91.9,131,252.3,VERIFIED. Stanford AI Index 2025. Thirteenfold growth since 2014.
of which: GenAI,—,—,—,3.9,28.6,33.9,VERIFIED. Stanford AI Index 2025. GenAI $33.9B in 2024 (+18.7% YoY; 8.5x vs 2022).
GREEN rows = VERIFIED figures directly from Stanford AI Index 2025. Other rows are AI Index estimates. Source: Stanford HAI AI Index 2025 — https://aiindex.stanford.edu,,,,,,,
