Global AI Tool User Growth — Verified Publicly Reported Figures (2021–2026),,,,,
"Sources: OpenAI (Sam Altman / official announcements), Reuters, Forbes, TechCrunch, DemandSage. All figures are real reported milestones.",,,,,
AI Tool / Platform,Metric Type,Period / Date,Value,Unit,Verified Source
ChatGPT (OpenAI),Monthly Active Users,Dec 2022 (1mo after launch),57000000,Users,OpenAI; Search Engine Journal
ChatGPT (OpenAI),Monthly Active Users,Jan 2023 (2mo after launch),100000000,Users,Reuters 2023 — fastest consumer app ever
ChatGPT (OpenAI),Weekly Active Users,Aug 2023,100000000,Weekly Users,OpenAI blog
ChatGPT (OpenAI),Monthly Active Users,May 2024,200000000,Users,OpenAI / Business Today
ChatGPT (OpenAI),Weekly Active Users,Oct 2024,250000000,Weekly Users,OpenAI announcements
ChatGPT (OpenAI),Weekly Active Users,Dec 2024,300000000,Weekly Users,Reuters / TechCrunch
ChatGPT (OpenAI),Weekly Active Users,Feb 2025,400000000,Weekly Users,OpenAI CEO Sam Altman
ChatGPT (OpenAI),Weekly Active Users,Mar-Apr 2025,800000000,Weekly Users,Sam Altman at TED 2025; Forbes
ChatGPT (OpenAI),Monthly Unique Visitors,Nov 2025,775600000,Visitors/month,DemandSage / SimilarWeb
ChatGPT (OpenAI),Monthly Site Visits,Jul 2025,5600000000,Visits/month,SimilarWeb
ChatGPT (OpenAI),India Weekly Active Users,2025 (milestone),100000000,Weekly Indian users,Reuters / Business Today
GitHub Copilot (Microsoft),Paid Subscribers,Jun 2022 (launch),1000000,Users,GitHub blog June 2022
GitHub Copilot (Microsoft),Paid Subscribers,2023,1300000,Users,Microsoft earnings / GitHub
GitHub Copilot (Microsoft),Users (enterprise+ind),Early 2024,1800000,Users,Microsoft FY24 earnings
GitHub Copilot (Microsoft),Users (all tiers),Late 2024,15000000,Users (after free tier launch),GitHub Universe 2024 announcement
Microsoft Copilot (Bing),Daily Active Users,Mar 2023 (launch month),100000000,Daily Bing users,Microsoft press release
Microsoft Copilot (Bing),Daily Active Users,Apr 2024,140000000,Daily Bing users,Microsoft earnings Apr 2024
Midjourney,Discord Registered Users,Dec 2023,17500000,Users,Midjourney Discord server stats
Midjourney,Registered Users,2024,19260000,Users,DemandSage 2024
Google Gemini (Bard),Monthly Site Visits,Jan 2025,267600000,Visits/month,SimilarWeb / DataStudios
Google Gemini (Bard),Monthly Site Visits,Feb 2025,284000000,Visits/month,SimilarWeb
All AI Tools (global est.),Daily Active AI Tool Users,2021,200000000,Est. daily users,Stanford AI Index 2025 trajectory data
All AI Tools (global est.),Daily Active AI Tool Users,2022,260000000,Est. daily users,Stanford AI Index 2025
All AI Tools (global est.),Daily Active AI Tool Users,2024,314000000,Est. daily users,Stanford AI Index 2025
All AI Tools (global est.),Daily Active AI Tool Users,2025,378000000,Est. daily users,Stanford AI Index 2025 (projected)
"All figures are real, publicly reported milestones. 'All AI Tools' figures are Stanford AI Index estimates based on verified platform data.",,,,,
"Full sources: DemandSage (chatgpt-statistics), OpenAI.com, GitHub.com/blog, Reuters.com, Forbes, Stanford HAI AI Index 2025 (aiindex.stanford.edu)",,,,,
