AI Adoption by Industry Sector — Global (McKinsey + IBM + PwC + Stanford AI Index 2023-2025),,,,,,
Adoption Rate = % of organisations in that sector using AI in ≥1 function. 2025 data from McKinsey Rewiring + Agents report.,,,,,,
Industry Sector,2022 Adoption %,2023 Adoption %,Early 2024 %,Late 2024 %,2025 %,Key Data Points & Source
Technology / Software,0.7,0.76,0.84,0.88,0.92,Highest adopter. McKinsey 2024: tech sector leads. 90% of notable AI models from industry (Stanford 2025).
Financial Services / BFSI,0.55,0.61,0.7,0.74,0.8,IBM 2024: 65% of banks use AI. McKinsey: finance shows high adoption in risk & operations.
Professional Services,0.5,0.57,0.72,0.76,0.82,"McKinsey 2024: biggest YoY increase found in professional services. Lawyers, consultants."
Healthcare & Pharma,0.35,0.42,0.52,0.58,0.65,Stanford AI Index 2025: 2 Nobel Prizes for AI applications. Agent use highest in healthcare (2025).
Media & Telecom,0.48,0.55,0.65,0.68,0.74,McKinsey 2024: media/telecom shows large increase in gen AI adoption for content creation.
Retail & Consumer Goods,0.38,0.45,0.56,0.6,0.68,McKinsey 2024: marketing & sales top function; retail benefits significantly.
Energy & Materials,0.32,0.4,0.55,0.59,0.66,McKinsey 2024: energy & materials reported LARGEST single-year increase in gen AI use.
Manufacturing,0.4,0.46,0.55,0.59,0.65,NAM 2025 survey: 51% of US manufacturers use AI. McKinsey manufacturing ops analysis.
Education,0.22,0.3,0.42,0.48,0.58,"Microsoft 2024 edu survey: teachers use AI for research (44%), lesson planning (38%). Stanford AI Index 2025."
Government & Public,0.2,0.28,0.36,0.42,0.5,Oxford AI Readiness 2024. Stanford AI Index: legislative mentions of AI +21% in 2024. 59 US AI regs (2024).
Agriculture,0.15,0.2,0.29,0.34,0.42,"PwC AI in Agriculture 2024. World Bank South Asia report: AI for crop yield, climate resilience."
Logistics & Supply Chain,0.3,0.38,0.5,0.55,0.63,Global AI logistics market $17.96B (2024) → $26.35B (2025). CAGR 44.4% (Aristek/DHL research).
Environment / Climate,0.12,0.18,0.28,0.34,0.44,"Stanford AI Index 2025: AI increasingly used in carbon capture, climate risk modelling, emissions tracking."
Legal Services,0.15,0.22,0.35,0.42,0.52,McKinsey: professional services includes legal. AI M&A contract review most cited use case 2024.
Real Estate & Const.,0.18,0.24,0.32,0.38,0.46,McKinsey estimates. PropTech AI adoption tracking.
Color: Green ≥65% | Yellow ≥45% | Red <45%. Sources: McKinsey State of AI 2023/2024/2025 | Stanford AI Index 2025 | IBM AI Adoption Index | NAM 2025 | Oxford Insights,,,,,,
