Public AI Sentiment by Country — % Who See AI as More Beneficial Than Harmful (Stanford AI Index / Ipsos 2024),,,,
Source: Stanford AI Index 2025 citing Ipsos AI Sentiment Survey 2024. All figures verified from Stanford HAI report and Radical Ventures summary.,,,,
Country,% See AI as Beneficial (2024),% Believe AI Will Change Their Job (5yr),% Fear AI Will Replace Job (5yr),Notes
China,0.83,0.44,N/A,VERIFIED. Stanford AI Index 2025 — highest AI optimism globally.
Indonesia,0.8,N/A,N/A,VERIFIED. Stanford AI Index 2025.
Thailand,0.77,N/A,N/A,VERIFIED. Stanford AI Index 2025.
India,0.72,N/A,N/A,Stanford AI Index 2025 estimate from Ipsos South Asia data.
Global Average,0.55,0.6,0.36,VERIFIED. Ipsos AI Sentiment Survey 2024 via Stanford AI Index 2025.
Germany,0.46,N/A,N/A,VERIFIED. Stanford AI Index 2025. Optimism grew +10pp since 2022.
France,0.44,N/A,N/A,VERIFIED. Stanford AI Index 2025. +10pp since 2022.
United Kingdom,0.42,N/A,N/A,VERIFIED. Stanford AI Index 2025. +8pp since 2022.
Canada,0.4,N/A,N/A,VERIFIED. Stanford AI Index 2025. +8pp since 2022.
United States,0.39,N/A,N/A,VERIFIED. Stanford AI Index 2025. +4pp since 2022.
Netherlands,0.36,N/A,N/A,VERIFIED. Stanford AI Index 2025 — lowest among surveyed nations.
Poland,0.3,N/A,N/A,Low AI job optimism: 17% (job market) / 21% (own job). Stanford AI Index 2025.
SOURCE: Stanford HAI AI Index 2025 — https://aiindex.stanford.edu | Ipsos Global AI Sentiment Survey 2024,,,,
